"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"特別養護老人ホームやすらぎ園","","","紀美野町","福祉避難所","","土砂災害予測地域　","","","耐震　","","","","",0,135.311312,34.1518979,"","","",0,0,0,0,"紀美野町下佐々1408-7","",""
"特別養護老人ホーム美里園","","","紀美野町","福祉避難所","","土砂災害予測地域　","","","耐震　","","","","",0,135.346625,34.1490519,"","","",0,0,0,0,"紀美野町安井6-1","",""
"国保野上厚生総合病院","","","紀美野町","福祉避難所","","","","","耐震　","","","","",0,135.295319,34.1638404,"","","",0,0,0,0,"紀美野町小畑198-0","",""
"吉見集会所","吉見","","紀美野町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","毛布、間仕切り、マスク、手指消毒液",87,135.306593,34.1567374,"","","",148,0,33,33,"紀美野町下佐々1752-2","",""
"芝崎集会所","動木","","紀美野町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","毛布、間仕切り、マスク、手指消毒液",65,135.309291,34.1697429,"","","",85,0,17,17,"紀美野町動木378-1","",""
"四郷集会所","四郷","","紀美野町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　","☆（注）","","耐震　","有","○","○","毛布、間仕切り、マスク、手指消毒液",238,135.412886,34.1802805,"","","",71,0,11,11,"紀美野町四郷134-0","",""
"勝谷集会所","勝谷","","紀美野町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","有","○","○","毛布、間仕切り、マスク、手指消毒液",390,135.435673,34.1710233,"","","",101,0,19,19,"紀美野町勝谷181-2","",""
"円明寺集会所","円明寺","","紀美野町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","有","○","○","毛布、間仕切り、マスク、手指消毒液",169,135.411964,34.1685126,"","","",155,0,23,23,"紀美野町円明寺198-0","",""
"上真国多目的集会所","花野原　初生谷　北野","","紀美野町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","有","○","○","毛布、間仕切り、マスク、手指消毒液",159,135.399737,34.1688658,"","","",197,0,30,30,"紀美野町花野原345-0","",""
"真国区民センター","井堰　蓑垣内　真国宮　蓑津呂　花野原　初生谷　北野　円明寺　勝谷　四郷","","紀美野町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　","☆☆☆","","耐震　","有","○","○","毛布、間仕切り、マスク、手指消毒液",124,135.374684,34.1695756,"","","",497,0,67,67,"紀美野町真国宮32-2","※",""
