名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
南部高等学校　体育館,片町、外,,,,みなべ町,避難所を兼ねる避難場所,洪水　,津波浸水予測地域,☆☆☆,,耐震　,,,,,,135.3254533 ,33.7647926 ,,,,,,1000,,みなべ町芝407,
西本庄地区天王神社,西本庄  ,,,,みなべ町,避難場所,地震　津波,,,☆☆,,,,,,27,135.3275970 ,33.8113180 ,,,,,,,,みなべ町西本庄,
水越観音前,西本庄  ,,,,みなべ町,避難場所,地震　津波,,,☆☆,,,,,,20.8,135.3224260 ,33.8052030 ,,,,,,,,みなべ町西本庄,
須賀神社前,西本庄  ,,,,みなべ町,避難場所,地震　津波,,,☆☆,,,,,,15.3,135.3262500 ,33.7991940 ,,,,,,,,みなべ町西本庄,
瓜谷地区上,西本庄  ,,,,みなべ町,避難場所,地震　津波,,,☆☆,,,,,,16.5,135.3244640 ,33.7961450 ,,,,,,,,みなべ町西本庄,
瓜谷地区下,西本庄  ,,,,みなべ町,避難場所,地震　津波,,,☆☆,,,,,,14,135.3258050 ,33.7951110 ,,,,,,,,みなべ町西本庄,
大谷会館,晩稲  ,,,,みなべ町,避難場所,地震　津波,,,☆☆,,,,,,21.6,135.3417480 ,33.7948660 ,,,,,,,,みなべ町晩稲,
晩稲地区観音,晩稲  ,,,,みなべ町,避難場所,地震　津波,,,☆☆☆,,,,,,40.7,135.3372800 ,33.7890160 ,,,,,,,,みなべ町晩稲,
晩稲地区小川恒則宅前,晩稲  ,,,,みなべ町,避難場所,地震　津波,,,☆☆☆,,,,,,33,135.3411100 ,33.7862340 ,,,,,,,,みなべ町晩稲,
晩稲地区小殿神社,晩稲  ,,,,みなべ町,避難場所,地震　津波,,,☆☆,,,,,,53.4,135.3409490 ,33.7831400 ,,,,,,,,みなべ町晩稲,
晩稲地区薬師堂,晩稲  ,,,,みなべ町,避難場所,地震　津波,,,☆☆,,,,,,36.1,135.3391950 ,33.7835240 ,,,,,,,,みなべ町晩稲,
