"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"湯川集会所","湯川","","高野町","避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","有","○","○","アルファ米・水・毛布",505,135.531501,34.1865389,"○","○","",40,0,0,16,"高野町大字湯川406-0","","","",
"筒香多目的集会所","上筒香","","高野町","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","有","○","○","アルファ米・水・毛布",0,135.697014,34.2400382,"○","○","",0,0,0,30,"高野町大字上筒香46-0","","","",
"東富貴多目的集会所","東富貴・西富貴","","高野町","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆","","耐震　","","","","",0,135.7003062,34.26112376,"","","",0,0,0,40,"高野町大字東富貴442-1","","","",
"西細川多目的集会所","西細川","","高野町","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",0,135.5545021,34.23371815,"","","",0,0,0,30,"高野町大字細川852-0","","","",
"神谷集会所","神谷","","高野町","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆☆","","非耐震","有","○","○","アルファ米・水・毛布",0,135.554502,34.2337182,"○","○","",0,0,0,10,"高野町大字細川457-0","","","",
"花坂多目的集会所","花坂","","高野町","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆☆","","非耐震","有","○","○","アルファ米・水・毛布",0,135.530397,34.2167247,"○","○","",0,0,0,30,"高野町大字花坂651-0","","","",
"高野山多目的集会所","大門西部、大門中部、大門東部、愛宕谷","","高野町","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆☆","","耐震　","","","","",0,135.57533,34.2131179,"","","",0,0,0,40,"高野町大字高野山233-0","","","",
"老人憩いの家","中の橋","","高野町","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆☆","","耐震　","","","","",0,135.5952893,34.21380113,"","","",0,0,0,30,"高野町大字高野山17-59","","","",
"富貴小中学校運動場","東富貴、西富貴","","高野町","避難場所","洪水　崖崩れ・土石流及び地滑り　地震　大規模な火事","","☆☆☆","","","","","","",0,135.700001,34.2632446,"","","",0,0,0,300,"高野町大字東富貴202-0","","指定緊急避難場所","",
"花坂小学校運動場","花坂、西細川","","高野町","避難場所","洪水　崖崩れ・土石流及び地滑り　地震　大規模な火事","土砂災害予測地域　","☆☆","","","","","","",0,135.530567,34.2165746,"","","",0,0,0,200,"高野町大字花坂651-0","","指定緊急避難場所","",
